Location_Id,LOCATION,LAT,LON,Cross Street
124,1100 S FICKETT ST,34.0273,-118.2176,
125,KESTER AV,34.1649,-118.4574,MAGNOLIA BL
126,3700 CRENSHAW BL,34.0191,-118.3351,
127,900 N FRIES AV,33.7815,-118.265,
128,W 24TH ST,34.0349,-118.3177,ARLINGTON AV
129,8100 N BALBOA PL,34.2179,-118.5014,
130,4600 ELLENWOOD DR,34.1293,-118.219,
131,1800 W MARTIN LUTHER KING JR BL,34.0109,-118.3113,
132,1500 N SAINT ANDREWS PL,34.0981,-118.3114,
133,BROADWAY,34.0377,-118.2607,PICO
134,200 E MANCHESTER AV,33.964,-118.2739,
135,13300 RIVERSIDE DR,34.1576,-118.4231,
136,7900 BOTHWELL RD,34.2141,-118.5612,
137,1500 VINE ST,34.098,-118.3266,
138,4200 DEGNAN BL,34.008,-118.3314,
139,4800 W MARTIN LUTHER KING JR BL,34.017,-118.3477,
140,24900 FRAMPTON AV,33.7983,-118.2992,
141,8TH ST,34.0226,-118.207,CONCORD
142,CARSON,33.8315,-118.3065,HARVARD
143,400 S OCCIDENTAL BL,34.0665,-118.2828,
144,7000 WOODLEY AV,34.1975,-118.4837,
145,7000 HOLLYWOOD BL,34.1015,-118.3425,
146,8TH ST,34.0452,-118.2569,HILL ST
147,4300 2ND AV,34.0041,-118.3193,
148,300 N VERMONT AV,34.0777,-118.2961,
149,2300 CHARLOTTE ST,34.0567,-118.2024,
150,600 W 23RD ST,33.7234,-118.2907,
151,700 N ARDMORE AV,34.0836,-118.3016,
152,600 W JEFFERSON BL,34.0268,-118.2808,
153,1400 W 45TH ST,34.0028,-118.3007,
154,2900 SAINT GEORGE ST,34.1097,-118.2739,
155,7000 CORBIN AV,34.1975,-118.5623,
156,700 S SPRING ST,34.0445,-118.2523,
157,COLISEUM,34.0183,-118.3556,LA BREA BL
158,3900 VIRGINIA RD,34.0145,-118.3408,
159,TAMPA,34.1866,-118.5535,VICTORY
160,2700 MCCONNELL DR,34.0445,-118.4035,
161,1500 W 224TH ST,33.8233,-118.3064,
162,600 S MAIN ST,34.0448,-118.2504,
163,3900 URSULA AV,34.0163,-118.3523,
164,48TH ST,34,-118.3307,CRENSHAW BL
165,6400 11TH AV,33.9817,-118.3294,
166,11900 SAN VICENTE BL,34.0571,-118.474,
167,4300 GATEWAY AV,34.0941,-118.2835,
168,500 S FREMONT AV,34.0526,-118.2582,
169,600 W 41ST DR,34.0087,-118.2866,
170,200 WOODRUFF AV,34.0768,-118.4352,
171,76TH ST,33.9711,-118.2918,VERMONT AV
172,2200 MARICOPA DR,34.1105,-118.2239,
